"","ID","theta1","theta2","a_sum","b_sum","c_sum","a01","a02","a03","a04","a05","a06","a07","a08","a09","a10","b01","b02","b03","b04","b05","b06","b07","b08","b09","b10","c01","c02","c03","c04","c05","c06","c07","c08","c09","c10"
"30",30,1.08949394422771,1.08217720235337,6,5,7,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0
"31",31,0.252883311059945,0.485774388148202,5,7,6,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0
"32",32,0.303900738098461,-0.81497953850577,3,4,4,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0
"33",33,1.51029161585824,0.0401115082304114,5,7,5,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0
"34",34,-0.757106429796911,2.27807824603179,3,6,9,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1
"35",35,0.949780004370574,0.473240171562948,8,8,6,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,0,0
"36",36,0.370723451892949,0.82203645634555,5,6,4,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0
"37",37,0.738411323854284,0.221002195282155,6,7,7,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0
"38",38,-0.828329625426375,0.721095397123994,4,8,7,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,0
"39",39,-0.0769844562207935,-0.452958422595854,4,4,4,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0
"40",40,-0.561706795632478,-0.0972883089275583,4,6,4,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0
"41",41,-0.976272968240063,-0.226994815622945,3,4,4,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0
"42",42,0.0882375222487949,-0.448360811550164,3,5,4,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0
"43",43,-0.778923812005063,-1.41280696062346,8,2,5,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
"44",44,1.34567234172861,2.41106958961729,8,6,9,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1
"45",45,0.384771555509402,1.70747999916727,6,5,8,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,1,0,1
"46",46,-1.08179087603903,-0.863490252485868,2,4,4,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0
"47",47,0.27988385955748,-0.977700863894499,7,3,4,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
"48",48,-0.816767748118997,0.00849696601956057,3,5,4,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0
"49",49,1.04905980578378,0.301879407306198,6,8,6,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1
"50",50,0.00983058831651838,-0.154230047225314,5,5,4,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0
"51",51,-0.462302428794293,0.901062965531056,4,8,9,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1
"52",52,0.79721083524969,-0.846655265904882,5,8,4,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0
"53",53,-0.409794876938499,0.335541066766228,3,4,8,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0
"54",54,1.03872196367916,1.33176672758869,5,8,7,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0
"55",55,-0.330617651684899,-0.0604291663518569,4,4,4,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
"56",56,1.18218261615814,1.44442151889851,7,7,7,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1
"57",57,-1.1900945841633,-1.49242396112822,3,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"58",58,0.430050775586315,0.582529941586707,6,7,7,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1
"59",59,0.276074995950165,-0.0615531528782692,6,6,6,1,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0
"60",60,0.0630333834129957,0.310988385117692,4,7,4,1,1,1,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0
"61",61,0.637308370700877,0.0202465019984077,6,6,4,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0
"62",62,-0.592193236391544,-0.27785650622721,5,6,4,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0
"63",63,-1.02574813131376,0.448616013341226,4,5,5,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0
"64",64,-0.410592197323784,-1.35363211755663,2,6,3,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0
"65",65,-0.691007686327157,-1.1653891730351,5,3,3,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
"66",66,0.544502703263348,-0.0187756747988191,7,5,5,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0
"67",67,-0.196304503200907,0.972626612236272,4,5,7,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1,0,0
"68",68,0.212475184259159,-0.120669170546026,6,6,5,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0
"69",69,0.306058570469024,1.29135554206658,5,6,8,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1
"70",70,1.80282458399404,1.74802625133105,8,6,8,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0
"71",71,-0.104206710859649,-0.74628421685006,7,5,2,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
"72",72,-2.41649409488932,-1.58310372097727,4,1,3,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
"73",73,1.19404867773907,0.547941545758917,7,4,7,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0
"74",74,-0.375756407224095,-0.852615346335201,4,4,4,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
"75",75,-0.358722022547252,-0.832943857219381,7,2,6,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0
"76",76,0.410184128949236,1.36615759015345,5,6,7,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0
"77",77,-1.30265236620271,0.80941104936619,3,6,6,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0
"78",78,-0.383634110740018,-1.73071098858408,6,4,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"79",79,0.588480950829131,-0.274454112314568,7,6,5,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0
"80",80,0.398068635924503,-0.638635532401392,4,5,3,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0
"81",81,0.644089716281412,-0.634105853438535,8,6,3,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
"82",82,0.242003548197432,0.42532168171389,7,6,5,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0
"83",83,-0.394996995094131,-0.247005012305417,4,5,1,1,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"84",84,0.744634079050511,0.37145884218998,8,5,4,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0
"85",85,0.0629029572286336,-0.444796884684886,7,5,4,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0
"86",86,-0.0275539595934977,0.602217178130469,4,8,7,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0
"87",87,1.97025716722585,-0.0704762687274672,7,5,5,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0
"88",88,-0.277094858640718,1.03085131127843,4,7,8,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0
"89",89,-0.336654838528866,-0.227875227402699,6,7,5,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0
"90",90,0.56806549090193,1.42172767237757,4,5,5,1,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1
"91",91,0.900783824527119,0.820015331514863,7,8,5,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0
"92",92,0.461591584717187,0.488259811867082,4,5,4,0,1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0
"93",93,0.349951230036718,0.0635442645553728,6,6,5,1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,1,1,0,0,0
"94",94,-0.263692202266486,-0.823873023814912,6,7,3,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0
"95",95,0.67448662611469,1.68223254618228,8,7,8,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0
"96",96,-0.562675083790321,-0.47700501887882,3,4,5,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1
"97",97,2.50339089569382,1.28518098128259,9,8,6,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1
"98",98,1.12116618211816,1.53339329065454,6,6,9,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1
"99",99,0.243304178809268,-0.651549176133523,4,3,3,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
"100",100,0.190773026910201,-1.96858617619213,8,3,2,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
"101",101,-0.555343755356027,-0.675116507001578,5,2,3,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
"102",102,0.27226303376745,0.172672602128406,5,5,4,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0
"103",103,-0.441349747522032,0.0140668802105942,5,5,4,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
"104",104,-0.985975704401388,0.384014264449958,2,4,6,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0
"105",105,-1.27979980243838,-0.368451905490527,3,4,6,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0
"106",106,0.344816271233132,-0.422806578351411,6,6,4,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0
"107",107,-0.962593646691832,-0.396900773495717,6,4,2,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"108",108,-1.48261189414457,-1.40634828410091,6,1,5,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0
"109",109,-0.579190170034392,-0.0793814814891312,3,5,5,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0
"110",110,0.990934387138152,0.600814431738607,7,7,10,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1
"111",111,-0.161678354398766,-0.8348518168194,6,5,6,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1
"112",112,0.0129286897813533,1.04009640550158,7,6,10,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1
"113",113,-1.45655828182681,-1.34569676961716,3,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
"114",114,-0.385872149167816,0.289636001910923,4,4,6,0,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0
"115",115,0.770744518359084,0.128895148688282,4,6,5,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0
"116",116,1.64471124752685,-1.12309832338391,8,4,2,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
"117",117,0.325666225178623,-0.14262968776214,7,7,5,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0
"118",118,-0.626630285872702,-0.483105073226857,3,3,5,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0
"119",119,-1.74061157770585,0.268880478963603,3,5,6,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0
"120",120,-0.871421732023333,-0.902421366798444,3,5,4,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0
"121",121,1.24146894604307,-1.03769906252807,8,6,4,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0
"122",122,-0.579907541171896,-1.0611666294779,1,3,2,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"123",123,0.0695686664712448,-0.919239082991911,9,5,3,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"124",124,-0.473428531614289,0.029863843305231,5,5,4,1,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0
"125",125,1.72447864553847,1.46918402966955,8,6,8,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0
"126",126,-0.885733421029101,-0.243476932696968,4,5,3,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
"127",127,-0.247008294357012,0.654709796973868,5,2,6,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0
"128",128,0.530990733510877,-0.395958581065296,6,5,4,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0
"129",129,-1.36141071364116,-0.304573846269416,0,5,6,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0
"130",130,0.299140582481054,-0.422649810637624,7,4,3,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
"131",131,1.3425064283405,1.15952905256597,8,7,7,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1
"132",132,0.570670070706937,0.211357889049538,8,7,4,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0
"133",133,1.08721002360201,-1.01579250776572,6,4,4,1,1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0
"134",134,-0.187161964883689,-0.544624014765451,5,2,4,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1
"135",135,-0.741860559313701,-2.8144679488941,5,3,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"136",136,1.72834198827051,0.231191545856233,9,7,6,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,0,0,0
"137",137,-1.36513576112856,-1.16476705328424,3,1,4,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
"138",138,0.473351226755299,0.808275457018369,6,7,4,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0
"139",139,1.31198415306131,1.99468022573446,7,7,6,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0
"140",140,-0.91905419820375,-1.58184211730063,3,1,4,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0
"141",141,0.359095206892527,0.856430917932429,5,6,9,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0
"142",142,-0.800757073018332,0.346617699756255,2,2,6,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0
"143",143,-1.13195607024471,-1.59107749021793,4,3,3,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
"144",144,-1.59442169042073,-1.02905964251041,2,2,4,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
"145",145,-0.552636957230679,-2.22130506555996,3,2,3,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
"146",146,-0.268247302506434,-0.651309767962224,7,6,5,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0
"147",147,-1.26168063706556,-1.2701543043949,3,3,5,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0
"148",148,0.340648216208785,0.850858585964173,2,8,7,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0
"149",149,2.28475363097834,1.35274175544177,8,9,5,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0
"150",150,-0.985877997439767,-1.24332417794272,2,3,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"151",151,0.623290394762593,0.741113312160166,8,7,6,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0
"152",152,0.213990416857272,1.11802981772293,6,7,7,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,0,0
"153",153,-0.109952192028231,0.685343937175246,4,5,5,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0
"154",154,-0.790946665058742,-0.955612853641015,4,5,2,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
"155",155,-0.249390151540634,0.0424921677597939,5,6,5,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0
"156",156,-0.38703954410701,-0.0986194226131618,5,4,5,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0
